Price Date,Modal Price (Rs./Quintal)
2016-05-29,2761.0
2016-05-30,2785.0
2016-05-31,3051.0
2016-06-01,2652.0
2016-06-02,2750.0
2016-06-03,2850.25
2016-06-04,2950.5
2016-06-05,3050.75
2016-06-06,3151.0
2016-06-07,4950.0
2016-06-08,2208.0
2016-06-09,3300.0
2016-06-10,3065.0
2016-06-11,1980.0
2016-06-12,1902.5
2016-06-13,1825.0
2016-06-14,2735.0
2016-06-15,3050.0
2016-06-16,2045.0
2016-06-17,2500.0
2016-06-18,2206.0
2016-06-19,2556.5
2016-06-20,2907.0
2016-06-21,3353.0
2016-06-22,3096.0
2016-06-23,3320.0
2016-06-24,2760.0
2016-06-25,2200.0
2016-06-26,3308.0
2016-06-27,3083.0
2016-06-28,2150.0
2016-06-29,2250.0
2016-06-30,2350.0
2016-07-01,2450.0
2016-07-02,2410.0
2016-07-03,2265.0
2016-07-04,2120.0
2016-07-05,2200.0
2016-07-06,3296.0
2016-07-07,2390.0
2016-07-08,2800.0
2016-07-09,2750.0
2016-07-10,2020.0
2016-07-11,2250.0
2016-07-12,2226.0
2016-07-13,2020.0
2016-07-14,3326.0
2016-07-15,3326.0
2016-07-16,4525.0
2016-07-17,3812.0
2016-07-18,3099.0
2016-07-19,2270.0
2016-07-20,2672.5
2016-07-21,3075.0
2016-07-22,2200.0
2016-07-23,3000.0
2016-07-24,3048.0
2016-07-25,2190.0
2016-07-26,2500.0
2016-07-27,3015.5
2016-07-28,3531.0
2016-07-29,2020.0
2016-07-30,2165.25
2016-07-31,2310.5
2016-08-01,2455.75
2016-08-02,2601.0
2016-08-03,2725.5
2016-08-04,2850.0
2016-08-05,2745.0
2016-08-06,2887.5
2016-08-07,3030.0
2016-08-08,3235.0
2016-08-09,2441.0
2016-08-10,2285.0
2016-08-11,2558.0
2016-08-12,2724.0
2016-08-13,2370.0
2016-08-14,2675.0
2016-08-15,3201.0
2016-08-16,2360.0
2016-08-17,2910.0
2016-08-18,3200.0
2016-08-19,2280.0
2016-08-20,4400.0
2016-08-21,3255.0
2016-08-22,2110.0
2016-08-23,3205.0
2016-08-24,4801.0
2016-08-25,3206.0
2016-08-26,2588.0
2016-08-27,2366.0
2016-08-28,3000.0
2016-08-29,3500.0
2016-08-30,2100.0
2016-08-31,2240.0
