Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
3505,3505,3505,17 Feb 2023
3708,3708,3708,16 Feb 2023
4851,4851,4851,15 Feb 2023
4600,4600,4600,14 Feb 2023
4274,4274,4274,13 Feb 2023
5500,5500,5500,12 Feb 2023
5501,5501,5501,10 Feb 2023
3585,3585,3585,09 Feb 2023
3505,3505,3505,08 Feb 2023
3906,3906,3906,07 Feb 2023
3775,3775,3775,06 Feb 2023
4305,4305,4305,05 Feb 2023
3401,3401,3401,04 Feb 2023
4035,4035,4035,03 Feb 2023
4080,4080,4080,02 Feb 2023
4545,4545,4545,01 Feb 2023
4080,4080,4080,31 Jan 2023
3505,3505,3505,30 Jan 2023
4801,4801,4801,29 Jan 2023
3401,3401,3401,28 Jan 2023
3906,3906,3906,27 Jan 2023
5501,5501,5501,26 Jan 2023
4600,4600,4600,25 Jan 2023
3585,3585,3585,24 Jan 2023
3560,3560,3560,23 Jan 2023
4295,4295,4295,22 Jan 2023
3642,3642,3642,21 Jan 2023
3775,3775,3775,20 Jan 2023
3585,3585,3585,17 Jan 2023
4575,4575,4575,12 Jan 2023
4825,4825,4825,11 Jan 2023
3585,3585,3585,06 Jan 2023
4295,4295,4295,04 Jan 2023
4305,4305,4305,03 Jan 2023
4035,4035,4035,02 Jan 2023
4275,4275,4275,01 Jan 2023
3605,3605,3605,31 Dec 2022
3775,3775,3775,30 Dec 2022
3906,3906,3906,29 Dec 2022
4300,4300,4300,28 Dec 2022
4575,4575,4575,26 Dec 2022
5001,5001,5001,25 Dec 2022
4725,4725,4725,24 Dec 2022
4300,4300,4300,23 Dec 2022
3700,3700,3700,21 Dec 2022
4035,4035,4035,20 Dec 2022
3960,3960,3960,19 Dec 2022
5500,5500,5500,18 Dec 2022
3605,3605,3605,17 Dec 2022
3585,3585,3585,16 Dec 2022
3810,3810,3810,15 Dec 2022
4295,4295,4295,14 Dec 2022
3592,3592,3592,13 Dec 2022
4274,4274,4274,12 Dec 2022
3300,3300,3300,11 Dec 2022
4305,4305,4305,10 Dec 2022
4035,4035,4035,09 Dec 2022
3585,3585,3585,08 Dec 2022
5851,5851,5851,06 Dec 2022
4575,4575,4575,01 Dec 2022
3560,3560,3560,30 Nov 2022
3960,3960,3960,29 Nov 2022
5001,5001,5001,28 Nov 2022
3300,3300,3300,27 Nov 2022
3500,3500,3500,26 Nov 2022
3810,3810,3810,22 Nov 2022
5201,5201,5201,21 Nov 2022
5101,5101,5101,20 Nov 2022
5500,5500,5500,19 Nov 2022
5075,5075,5075,18 Nov 2022
4601,4601,4601,17 Nov 2022
4300,4300,4300,16 Nov 2022
3708,3708,3708,11 Nov 2022
5101,5101,5101,10 Nov 2022
3425,3425,3425,09 Nov 2022
6201,6201,6201,08 Nov 2022
3401,3401,3401,07 Nov 2022
4250,4250,4250,06 Nov 2022
3708,3708,3708,05 Nov 2022
4801,4801,4801,04 Nov 2022
4975,4975,4975,03 Nov 2022
5500,5500,5500,02 Nov 2022
4274,4274,4274,01 Nov 2022
5500,5500,5500,31 Oct 2022
5900,5900,5900,30 Oct 2022
5051,5051,5051,29 Oct 2022
5101,5101,5101,28 Oct 2022
3500,3500,3500,27 Oct 2022
6100,6100,6100,26 Oct 2022
4825,4825,4825,25 Oct 2022
5300,5300,5300,23 Oct 2022
5500,5500,5500,22 Oct 2022
3810,3810,3810,21 Oct 2022
4439,4439,4439,20 Oct 2022
4295,4295,4295,19 Oct 2022
3810,3810,3810,18 Oct 2022
3960,3960,3960,17 Oct 2022
5851,5851,5851,16 Oct 2022
4975,4975,4975,15 Oct 2022
3560,3560,3560,14 Oct 2022
4825,4825,4825,13 Oct 2022
4274,4274,4274,12 Oct 2022
4800,4800,4800,11 Oct 2022
5500,5500,5500,10 Oct 2022
3810,3810,3810,09 Oct 2022
6100,6100,6100,08 Oct 2022
4851,4851,4851,07 Oct 2022
