Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
3190,4750,3490,06 May 2021
2950,4750,3490,05 May 2021
2770,4680,3450,04 May 2021
3150,3150,3150,03 May 2021
2770,4680,3450,02 May 2021
2950,4790,3650,01 May 2021
2690,4610,3490,26 Apr 2021
2690,4610,3360,25 Apr 2021
2650,4680,3255,24 Apr 2021
2690,4120,3260,23 Apr 2021
2690,4710,3460,22 Apr 2021
2790,4690,3310,20 Apr 2021
2450,4630,3160,19 Apr 2021
2530,4650,3260,17 Apr 2021
2650,3940,3105,16 Apr 2021
2950,2950,2950,15 Jul 2020
2690,4350,3520,14 Jul 2020
2650,4150,3450,11 Jul 2020
2750,4100,3360,09 Jul 2020
2750,4150,3360,08 Jul 2020
2560,4150,2960,06 Jul 2020
2890,2890,2890,03 Jul 2020
3150,3150,3150,02 Jul 2020
2850,2850,2850,01 Jul 2020
2950,4610,3650,30 Jun 2020
2750,4350,3650,29 Jun 2020
2765,4350,3350,28 Jun 2020
2680,4150,3290,26 Jun 2020
2760,4360,3350,25 Jun 2020
2960,4450,3480,24 Jun 2020
2850,2850,2850,23 Jun 2020
2650,4050,3350,22 Jun 2020
2750,3850,3160,21 Jun 2020
2680,2680,2680,20 Jun 2020
2390,4050,2950,19 Jun 2020
2390,4370,3165,18 Jun 2020
2750,4155,3165,17 Jun 2020
2750,4370,3265,15 Jun 2020
3250,3250,3250,14 Jun 2020
2990,4370,3250,13 Jun 2020
2650,4155,3240,12 Jun 2020
2990,2990,2990,11 Jun 2020
2750,4370,3365,10 Jun 2020
2650,4050,3265,09 Jun 2020
2680,4150,3160,08 Jun 2020
3250,3250,3250,07 Jun 2020
2750,4370,3265,06 Jun 2020
2950,2950,2950,05 Jun 2020
2750,4370,3265,04 Jun 2020
3250,3250,3250,02 Jun 2020
3250,3250,3250,01 Jun 2020
2650,4155,3240,31 May 2020
2430,4050,3240,30 May 2020
2390,4155,3165,29 May 2020
2760,4150,3350,28 May 2020
2350,4160,3160,27 May 2020
2780,4150,3350,26 May 2020
2760,4160,3150,25 May 2020
2850,2850,2850,23 May 2020
2750,4150,3260,22 May 2020
2450,4130,3105,21 May 2020
2650,4160,3250,20 May 2020
2650,4050,3225,19 May 2020
2650,4150,3260,18 May 2020
2640,4050,3150,17 May 2020
2750,4060,3250,16 May 2020
2640,3940,3120,15 May 2020
2680,4050,3350,14 May 2020
2780,4150,3250,13 May 2020
2680,2680,2680,11 May 2020
2350,4310,3120,10 May 2020
2540,4130,3250,09 May 2020
2350,3950,3185,08 May 2020
2650,3840,3150,07 May 2020
2650,4050,3260,06 May 2020
2560,4020,3160,07 Apr 2020
2750,4510,3410,06 Apr 2020
2560,4760,3410,05 Apr 2020
2840,4610,3450,04 Apr 2020
2450,4010,3040,03 Apr 2020
2640,4090,3210,02 Apr 2020
2780,4310,3410,01 Apr 2020
2950,4610,3410,31 Mar 2020
2750,4310,3410,30 Mar 2020
2910,2910,2910,27 Mar 2020
2950,2950,2950,26 Mar 2020
2890,2890,2890,24 Mar 2020
2750,4610,3410,23 Mar 2020
2760,4120,3450,21 Mar 2020
2760,4610,3420,20 Mar 2020
2840,4610,3320,18 Mar 2020
2560,4780,3360,17 Mar 2020
2550,4710,3320,16 Mar 2020
2360,4120,3120,14 Mar 2020
2650,4130,3260,13 Mar 2020
2650,4320,3310,12 Mar 2020
2760,4310,3420,11 Mar 2020
2740,4910,3460,09 Mar 2020
2840,4610,3460,07 Mar 2020
2760,4605,3250,06 Mar 2020
2840,4610,3440,05 Mar 2020
2760,4610,3360,04 Mar 2020
2680,4350,3420,03 Mar 2020
2760,4120,3410,02 Mar 2020
2640,4150,3425,29 Feb 2020
2840,4610,3510,28 Feb 2020
2650,4255,3385,27 Feb 2020
2850,4620,3390,26 Feb 2020
2690,4280,3450,25 Feb 2020
2750,4360,3440,24 Feb 2020
2740,4310,3415,22 Feb 2020
2845,4460,3350,20 Feb 2020
2670,4590,3480,18 Feb 2020
2350,4160,3360,17 Feb 2020
2850,4710,3420,15 Feb 2020
2790,4615,3450,13 Feb 2020
2760,4610,3360,12 Feb 2020
2950,4720,3460,11 Feb 2020
2550,4210,3410,10 Feb 2020
2650,4310,3350,08 Feb 2020
2480,4710,3415,07 Feb 2020
2780,4510,3450,06 Feb 2020
2540,4210,3350,04 Feb 2020
2640,4710,3410,03 Feb 2020
2915,4310,3615,01 Feb 2020
2840,4615,3410,30 Jan 2020
2760,4610,3410,29 Jan 2020
2850,4350,3450,28 Jan 2020
2450,4760,3310,27 Jan 2020
2760,4610,3420,25 Jan 2020
2740,4615,3450,23 Jan 2020
2850,4710,3420,22 Jan 2020
2790,4610,3440,21 Jan 2020
2900,4770,3490,20 Jan 2020
2840,4610,3410,18 Jan 2020
2790,4610,3440,16 Jan 2020
2950,4710,3460,15 Jan 2020
2510,4310,3460,14 Jan 2020
2840,4720,3450,13 Jan 2020
2510,4610,3410,11 Jan 2020
2760,4610,3460,10 Jan 2020
2935,4710,3580,09 Jan 2020
2850,4690,3460,07 Jan 2020
2450,4730,3410,06 Jan 2020
2860,4610,3410,03 Jan 2020
2750,4920,3460,02 Jan 2020
2690,4410,3420,01 Jan 2020
2750,4320,3480,31 Dec 2019
2690,4310,3420,30 Dec 2019
2640,4130,3325,28 Dec 2019
2900,4310,3490,27 Dec 2019
2740,4160,3360,25 Dec 2019
2760,4655,3495,24 Dec 2019
2740,4120,3360,23 Dec 2019
2955,4760,3415,21 Dec 2019
2860,4610,3425,20 Dec 2019
2680,4360,2985,19 Dec 2019
2560,4120,3360,18 Dec 2019
2840,4350,3610,17 Dec 2019
2815,4350,3360,16 Dec 2019
2740,4610,3410,14 Dec 2019
2810,4925,3540,12 Dec 2019
2890,4710,3365,10 Dec 2019
2940,4310,3415,09 Dec 2019
2860,4310,3430,07 Dec 2019
2390,4145,3050,06 Dec 2019
2580,4190,3415,05 Dec 2019
3140,4690,3480,04 Dec 2019
2955,4210,3255,03 Dec 2019
2755,4180,3260,02 Dec 2019
2795,4210,3425,29 Nov 2019
2740,4635,3410,28 Nov 2019
2955,4620,3420,27 Nov 2019
2910,4190,3520,26 Nov 2019
2870,4490,3385,25 Nov 2019
2790,4460,3410,23 Nov 2019
