Unnamed: 0,Date,Centre_Name,Price
24059,07-10-11,MUMBAI,1775.0
24060,07-10-11,NAGPUR,1700.0
24108,10-10-11,MUMBAI,1775.0
24109,10-10-11,NAGPUR,1750.0
24157,11-10-11,MUMBAI,1775.0
24158,11-10-11,NAGPUR,1700.0
24206,12-10-11,MUMBAI,1775.0
24207,12-10-11,NAGPUR,1700.0
24255,13-10-11,MUMBAI,1775.0
24256,13-10-11,NAGPUR,1700.0
24304,14-10-11,MUMBAI,1775.0
24305,14-10-11,NAGPUR,1700.0
24353,17-10-11,MUMBAI,1775.0
24354,17-10-11,NAGPUR,1725.0
24402,18-10-11,MUMBAI,1775.0
24403,18-10-11,NAGPUR,1675.0
24451,19-10-11,MUMBAI,1775.0
24452,19-10-11,NAGPUR,1675.0
24500,20-10-11,MUMBAI,1875.0
24501,20-10-11,NAGPUR,1650.0
24549,21-10-11,MUMBAI,1875.0
24550,21-10-11,NAGPUR,1650.0
24598,24-10-11,MUMBAI,1875.0
24599,24-10-11,NAGPUR,1650.0
24647,25-10-11,MUMBAI,1875.0
24648,25-10-11,NAGPUR,1700.0
24696,27-10-11,MUMBAI,
24697,27-10-11,NAGPUR,
24745,28-10-11,MUMBAI,
24746,28-10-11,NAGPUR,
24794,31-10-11,MUMBAI,1875.0
24795,31-10-11,NAGPUR,1700.0
24843,01-11-11,MUMBAI,1875.0
24844,01-11-11,NAGPUR,1650.0
24892,02-11-11,MUMBAI,1875.0
24893,02-11-11,NAGPUR,1650.0
24941,03-11-11,MUMBAI,1875.0
24942,03-11-11,NAGPUR,1650.0
24990,04-11-11,MUMBAI,1975.0
24991,04-11-11,NAGPUR,1650.0
25039,08-11-11,MUMBAI,1975.0
25040,08-11-11,NAGPUR,1675.0
25088,09-11-11,MUMBAI,1975.0
25089,09-11-11,NAGPUR,1675.0
25137,11-11-11,MUMBAI,1975.0
25138,11-11-11,NAGPUR,1675.0
25186,14-11-11,MUMBAI,1875.0
25187,14-11-11,NAGPUR,1700.0
25235,15-11-11,MUMBAI,
25236,15-11-11,NAGPUR,
25284,16-11-11,MUMBAI,1875.0
25285,16-11-11,NAGPUR,1750.0
25333,17-11-11,MUMBAI,
25334,17-11-11,NAGPUR,1750.0
25382,18-11-11,MUMBAI,1875.0
25383,18-11-11,NAGPUR,1750.0
25431,21-11-11,MUMBAI,1875.0
25432,21-11-11,NAGPUR,1783.0
25480,22-11-11,MUMBAI,1875.0
25481,22-11-11,NAGPUR,1792.0
25529,23-11-11,MUMBAI,1900.0
25530,23-11-11,NAGPUR,1800.0
25578,24-11-11,MUMBAI,1900.0
25579,24-11-11,NAGPUR,1700.0
25627,25-11-11,MUMBAI,1900.0
25628,25-11-11,NAGPUR,1700.0
25676,28-11-11,MUMBAI,1900.0
25677,28-11-11,NAGPUR,1700.0
25725,29-11-11,MUMBAI,1950.0
25726,29-11-11,NAGPUR,1700.0
25774,30-11-11,MUMBAI,1950.0
25775,30-11-11,NAGPUR,1700.0
25823,01-12-11,MUMBAI,1950.0
25824,01-12-11,NAGPUR,1700.0
25872,02-12-11,MUMBAI,1950.0
25873,02-12-11,NAGPUR,1700.0
25921,05-12-11,MUMBAI,1900.0
25922,05-12-11,NAGPUR,1700.0
